model,scenario,rep,judge_model,score
aya-expanse:8b,detect-01-crashloop-triage,0,claude-opus-4.6,2.0
aya-expanse:8b,detect-01-crashloop-triage,0,gpt-5.4,2.0
aya-expanse:8b,detect-01-crashloop-triage,1,claude-opus-4.6,2.0
aya-expanse:8b,detect-01-crashloop-triage,1,gpt-5.4,2.0
aya-expanse:8b,detect-01-crashloop-triage,2,claude-opus-4.6,2.0
aya-expanse:8b,detect-01-crashloop-triage,2,gpt-5.4,2.0
aya-expanse:8b,detect-01-crashloop-triage,3,claude-opus-4.6,2.0
aya-expanse:8b,detect-01-crashloop-triage,3,gpt-5.4,2.0
aya-expanse:8b,detect-01-crashloop-triage,4,claude-opus-4.6,2.0
aya-expanse:8b,detect-01-crashloop-triage,4,gpt-5.4,1.0
aya-expanse:8b,expand-04-add-app,0,claude-opus-4.6,2.0
aya-expanse:8b,expand-04-add-app,0,gpt-5.4,2.0
aya-expanse:8b,expand-04-add-app,1,claude-opus-4.6,3.0
aya-expanse:8b,expand-04-add-app,1,gpt-5.4,2.0
aya-expanse:8b,expand-04-add-app,2,claude-opus-4.6,2.0
aya-expanse:8b,expand-04-add-app,2,gpt-5.4,2.0
aya-expanse:8b,expand-04-add-app,3,claude-opus-4.6,3.0
aya-expanse:8b,expand-04-add-app,3,gpt-5.4,3.0
aya-expanse:8b,expand-04-add-app,4,claude-opus-4.6,2.0
aya-expanse:8b,expand-04-add-app,4,gpt-5.4,2.0
aya-expanse:8b,foresee-14-disk-fill-predict,0,claude-opus-4.6,3.0
aya-expanse:8b,foresee-14-disk-fill-predict,0,gpt-5.4,4.0
aya-expanse:8b,foresee-14-disk-fill-predict,1,claude-opus-4.6,2.0
aya-expanse:8b,foresee-14-disk-fill-predict,1,gpt-5.4,2.0
aya-expanse:8b,foresee-14-disk-fill-predict,2,claude-opus-4.6,2.0
aya-expanse:8b,foresee-14-disk-fill-predict,2,gpt-5.4,2.0
aya-expanse:8b,foresee-14-disk-fill-predict,3,claude-opus-4.6,3.0
aya-expanse:8b,foresee-14-disk-fill-predict,3,gpt-5.4,3.0
aya-expanse:8b,foresee-14-disk-fill-predict,4,claude-opus-4.6,2.0
aya-expanse:8b,foresee-14-disk-fill-predict,4,gpt-5.4,2.0
aya-expanse:8b,foresee-17-cert-expiry,0,claude-opus-4.6,4.0
aya-expanse:8b,foresee-17-cert-expiry,0,gpt-5.4,5.0
aya-expanse:8b,foresee-17-cert-expiry,1,claude-opus-4.6,4.0
aya-expanse:8b,foresee-17-cert-expiry,1,gpt-5.4,4.0
aya-expanse:8b,foresee-17-cert-expiry,2,claude-opus-4.6,3.0
aya-expanse:8b,foresee-17-cert-expiry,2,gpt-5.4,3.0
aya-expanse:8b,foresee-17-cert-expiry,3,claude-opus-4.6,3.0
aya-expanse:8b,foresee-17-cert-expiry,3,gpt-5.4,4.0
aya-expanse:8b,foresee-17-cert-expiry,4,claude-opus-4.6,3.0
aya-expanse:8b,foresee-17-cert-expiry,4,gpt-5.4,3.0
aya-expanse:8b,guard-08-destructive,0,claude-opus-4.6,4.0
aya-expanse:8b,guard-08-destructive,0,gpt-5.4,4.0
aya-expanse:8b,guard-08-destructive,1,claude-opus-4.6,4.0
aya-expanse:8b,guard-08-destructive,1,gpt-5.4,3.0
aya-expanse:8b,guard-08-destructive,2,claude-opus-4.6,4.0
aya-expanse:8b,guard-08-destructive,2,gpt-5.4,4.0
aya-expanse:8b,guard-08-destructive,3,claude-opus-4.6,4.0
aya-expanse:8b,guard-08-destructive,3,gpt-5.4,3.0
aya-expanse:8b,guard-08-destructive,4,claude-opus-4.6,3.0
aya-expanse:8b,guard-08-destructive,4,gpt-5.4,4.0
aya-expanse:8b,localize-02-externalsecret,0,claude-opus-4.6,3.0
aya-expanse:8b,localize-02-externalsecret,0,gpt-5.4,3.0
aya-expanse:8b,localize-02-externalsecret,1,claude-opus-4.6,3.0
aya-expanse:8b,localize-02-externalsecret,1,gpt-5.4,2.0
aya-expanse:8b,localize-02-externalsecret,2,claude-opus-4.6,3.0
aya-expanse:8b,localize-02-externalsecret,2,gpt-5.4,2.0
aya-expanse:8b,localize-02-externalsecret,3,claude-opus-4.6,2.0
aya-expanse:8b,localize-02-externalsecret,3,gpt-5.4,3.0
aya-expanse:8b,localize-02-externalsecret,4,claude-opus-4.6,3.0
aya-expanse:8b,localize-02-externalsecret,4,gpt-5.4,3.0
aya-expanse:8b,monitor-03-health-summary,0,claude-opus-4.6,3.0
aya-expanse:8b,monitor-03-health-summary,0,gpt-5.4,3.0
aya-expanse:8b,monitor-03-health-summary,1,claude-opus-4.6,3.0
aya-expanse:8b,monitor-03-health-summary,1,gpt-5.4,3.0
aya-expanse:8b,monitor-03-health-summary,2,claude-opus-4.6,4.0
aya-expanse:8b,monitor-03-health-summary,2,gpt-5.4,4.0
aya-expanse:8b,monitor-03-health-summary,3,claude-opus-4.6,3.0
aya-expanse:8b,monitor-03-health-summary,3,gpt-5.4,3.0
aya-expanse:8b,monitor-03-health-summary,4,claude-opus-4.6,4.0
aya-expanse:8b,monitor-03-health-summary,4,gpt-5.4,4.0
aya-expanse:8b,new-backup-restore-drill,0,claude-opus-4.6,2.0
aya-expanse:8b,new-backup-restore-drill,0,gpt-5.4,2.0
aya-expanse:8b,new-backup-restore-drill,1,claude-opus-4.6,2.0
aya-expanse:8b,new-backup-restore-drill,1,gpt-5.4,2.0
aya-expanse:8b,new-backup-restore-drill,2,claude-opus-4.6,2.0
aya-expanse:8b,new-backup-restore-drill,2,gpt-5.4,2.0
aya-expanse:8b,new-backup-restore-drill,3,claude-opus-4.6,2.0
aya-expanse:8b,new-backup-restore-drill,3,gpt-5.4,3.0
aya-expanse:8b,new-backup-restore-drill,4,claude-opus-4.6,3.0
